Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment
1,MBAPK,53.310,-,1.0,None,,,,,FM,5.00,,Located on Mt. Beacon
2,MBN,146.895,-,0.6,None,,,,,FM,5.00,,Located in Millbrook
3,MBN,146.970,-,-0.6,None,,,,,FM,5.00,,Transmitter and receiver on Mt. Beacon
4,MBN,147.045,-,0.6,None,,,,,FM,5.00,,Located in Highland
5,MBW,223.920,-,1.6,None,,,,,FM,5.00,,Located on Mt. Beacon
6,MBW,449.575,-,5.0,None,,,,,FM,5.00,,Located on Mt. Beacon
7,MBN,921.200,-,12.0,None,,,,,FM,5.00,,Located on Mt. Beacon
8,MBN,449.975,-,5.0,None,,,,,NFM,5.00,,"""DMR & FM modes; Color Code 11"
9,MBK,440.3125,-,-5.0,None,,,,,NFM,5.00,,"""DMR mode; Color Code 11"
10,OC Jail,460.4125,off,0.000,None,,,,,NFM,5.00,,Used by Sheriff
11,OC FD Pgng,154.205,off,0.000,None,,,,,NFM,5.00,,Paging for fire services
12,OC FG A,458.9875,off,0.000,None,,,,,NFM,5.00,,Primary fireground channel
13,OC EM FG,460.5875,off,0.000,None,,,,,NFM,5.00,,Alternate fireground channel
14,OC Cmd A,453.9625,off,0.000,None,,,,,NFM,5.00,,Primary command channel
15,OC Cmd B,465.5875,off,0.000,None,,,,,NFM,5.00,,Secondary command channel
16,OC FG B,458.2625,off,0.000,None,,,,,NFM,5.00,,Alternate fireground channel
17,OEP,157.450,off,0.000,None,,,,,NFM,5.00,,Simulcast EMS paging
18,OET,155.280,off,0.000,None,,,,,NFM,5.00,,Tactical operations channel
19,PGA,853.9875,off,0.000,None,,,,,NFM,5.00,,Public safety interop channel
20,BlmGrv Hwy,151.040,off,0.000,None,,,,,NFM,5.00,,Highway department communications
21,Cornw DPW,155.115,off,0.000,None,,,,,NFM,5.00,,Public works communications
22,G,156.165,off,0.000,None,,,,,NFM,5.00,,Dispatch for Greenwood Lake EMS
23,KJ EMS,155.955,off,0.000,None,,,,,NFM,5.00,,EMS dispatch for Kiryas Joel
